"date","adeno_A_0_9","adeno_A_10_19","adeno_A_20_29","adeno_A_30_39","adeno_A_40_49","adeno_A_50_59","adeno_A_60_69","adeno_A_70_79","adeno_A_80_89","adeno_A_90_99","adeno_B_0_9","adeno_B_10_19","adeno_B_20_29","adeno_B_30_39","adeno_B_40_49","adeno_B_50_59","adeno_B_60_69","adeno_B_70_79","adeno_B_80_89","adeno_B_90_99","rna_A_0_9","rna_A_10_19","rna_A_20_29","rna_A_30_39","rna_A_40_49","rna_A_50_59","rna_A_60_69","rna_A_70_79","rna_A_80_89","rna_A_90_99","rna_B_0_9","rna_B_10_19","rna_B_20_29","rna_B_30_39","rna_B_40_49","rna_B_50_59","rna_B_60_69","rna_B_70_79","rna_B_80_89","rna_B_90_99","rna_E_0_9","rna_E_10_19","rna_E_20_29","rna_E_30_39","rna_E_40_49","rna_E_50_59","rna_E_60_69","rna_E_70_79","rna_E_80_89","rna_E_90_99","rna_F_0_9","rna_F_10_19","rna_F_20_29","rna_F_30_39","rna_F_40_49","rna_F_50_59","rna_F_60_69","rna_F_70_79","rna_F_80_89","rna_F_90_99","rna_X_0_9","rna_X_10_19","rna_X_20_29","rna_X_30_39","rna_X_40_49","rna_X_50_59","rna_X_60_69","rna_X_70_79","rna_X_80_89","rna_X_90_99"
2021-01-06,0,0,1.02417064858858,0.753375576366177,1.4364354334919,2.15723648681069,1.71886033699608,0.959225342384913,0.200696175361648,0,0,0,0,0,0,0,0,0,0,0,0,3,33.9530034200197,50.780324776723,68.2178831164638,87.1769730991957,87.1879688230863,153.80195447868,394.035756630618,122.346135655214,0,0,0.174723549529528,0.075276450470472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06,0,0,1.02417064858858,0.753375576366177,1.4364354334919,2.15723648681069,1.71886033699608,0.959225342384913,0.200696175361648,0,0,0,0,0,0,0,0,0,0,0,0,3,33.9530034200197,50.780324776723,68.2178831164638,87.1769730991957,87.1879688230863,153.80195447868,394.035756630618,122.346135655214,0,0,0.174723549529528,0.075276450470472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,0,0,0.599447099059055,1.02979660919888,0.891034145362065,0.589992845326083,0.32140904809616,0.0683202529577602,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,72.671883974514,132.180571083225,154.543301812113,198.726853891716,192.388722302646,306.098046667497,809.661437369478,252.97918289881,0,0,0.174723549529528,0.25112519212206,0.59442911196841,0.409857495853042,0.0698646505269605,0,0.184748727650552,0.0652512723494477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,0,0,0.599447099059055,1.02979660919888,0.891034145362065,0.589992845326083,0.32140904809616,0.0683202529577602,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,72.671883974514,132.180571083225,154.543301812113,198.726853891716,192.388722302646,306.098046667497,809.661437369478,252.97918289881,0,0,0.174723549529528,0.25112519212206,0.59442911196841,0.409857495853042,0.0698646505269605,0,0.184748727650552,0.0652512723494477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,0,0,0.599447099059055,1.02979660919888,0.891034145362065,0.589992845326083,0.32140904809616,0.0683202529577602,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,72.671883974514,132.180571083225,154.543301812113,198.726853891716,192.388722302646,306.098046667497,809.661437369478,252.97918289881,0,0,0.174723549529528,0.25112519212206,0.59442911196841,0.409857495853042,0.0698646505269605,0,0.184748727650552,0.0652512723494477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,0,0,0.599447099059055,1.02979660919888,0.891034145362065,0.589992845326083,0.32140904809616,0.0683202529577602,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,72.671883974514,132.180571083225,154.543301812113,198.726853891716,192.388722302646,306.098046667497,809.661437369478,252.97918289881,0,0,0.174723549529528,0.25112519212206,0.59442911196841,0.409857495853042,0.0698646505269605,0,0.184748727650552,0.0652512723494477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,0,0,1.54834129717717,2.03429737768711,2.74847273961571,3.44078347814258,1.52314434850416,0.388062033752733,0.251647452771103,0.0652512723494477,0,0,0,0,0,0,0,0,0,0,0,7.5,93.0931331255848,154.428918747585,189.238986945783,234.418896675165,206.963469728406,321.39926630051,869.348517690373,272.358810786595,0,0,0.698894198118112,0.828652026836648,0.395879726251905,0.0765740487933343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,0,0,1.54834129717717,2.03429737768711,2.74847273961571,3.44078347814258,1.52314434850416,0.388062033752733,0.251647452771103,0.0652512723494477,0,0,0,0,0,0,0,0,0,0,0,7.5,93.0931331255848,154.428918747585,189.238986945783,234.418896675165,206.963469728406,321.39926630051,869.348517690373,272.358810786595,0,0,0.698894198118112,0.828652026836648,0.395879726251905,0.0765740487933343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,0,0,1.54834129717717,2.03429737768711,2.74847273961571,3.44078347814258,1.52314434850416,0.388062033752733,0.251647452771103,0.0652512723494477,0,0,0,0,0,0,0,0,0,0,0,7.5,93.0931331255848,154.428918747585,189.238986945783,234.418896675165,206.963469728406,321.39926630051,869.348517690373,272.358810786595,0,0,0.698894198118112,0.828652026836648,0.395879726251905,0.0765740487933343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,0,0,1.54834129717717,2.03429737768711,2.74847273961571,3.44078347814258,1.52314434850416,0.388062033752733,0.251647452771103,0.0652512723494477,0,0,0,0,0,0,0,0,0,0,0,7.5,93.0931331255848,154.428918747585,189.238986945783,234.418896675165,206.963469728406,321.39926630051,869.348517690373,272.358810786595,0,0,0.698894198118112,0.828652026836648,0.395879726251905,0.0765740487933343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
