Date,NEW_IN
28 avr. 2021,210
29 avr. 2021,206
30 avr. 2021,191
1 mai 2021,195
2 mai 2021,161
3 mai 2021,153
4 mai 2021,191
5 mai 2021,164
6 mai 2021,145
7 mai 2021,163
8 mai 2021,164
9 mai 2021,159
10 mai 2021,134
11 mai 2021,166
12 mai 2021,148
13 mai 2021,144
14 mai 2021,102
15 mai 2021,168
16 mai 2021,105
17 mai 2021,99
18 mai 2021,131
19 mai 2021,141
20 mai 2021,121
21 mai 2021,127
22 mai 2021,123
23 mai 2021,88
24 mai 2021,76
25 mai 2021,90
26 mai 2021,110
27 mai 2021,91
28 mai 2021,83
29 mai 2021,92
30 mai 2021,69
31 mai 2021,56
1 juin 2021,92
2 juin 2021,81
3 juin 2021,75
4 juin 2021,74
5 juin 2021,76
6 juin 2021,46
7 juin 2021,42
8 juin 2021,73
9 juin 2021,65
10 juin 2021,48
11 juin 2021,47
12 juin 2021,45
13 juin 2021,25
14 juin 2021,40
15 juin 2021,45
16 juin 2021,27
17 juin 2021,33
18 juin 2021,29
19 juin 2021,33
20 juin 2021,28
21 juin 2021,27
22 juin 2021,24
23 juin 2021,29
24 juin 2021,30
25 juin 2021,15
26 juin 2021,24
27 juin 2021,12
28 juin 2021,15
29 juin 2021,18
30 juin 2021,14
1 juil. 2021,7
2 juil. 2021,22
3 juil. 2021,17
4 juil. 2021,16
5 juil. 2021,11
6 juil. 2021,24
7 juil. 2021,28
8 juil. 2021,7
9 juil. 2021,20
10 juil. 2021,16
11 juil. 2021,12
12 juil. 2021,15
13 juil. 2021,28
14 juil. 2021,22
15 juil. 2021,29
16 juil. 2021,27
17 juil. 2021,28
18 juil. 2021,20
19 juil. 2021,27
20 juil. 2021,30
21 juil. 2021,28
22 juil. 2021,28
23 juil. 2021,27
24 juil. 2021,34
25 juil. 2021,27
26 juil. 2021,25
27 juil. 2021,39
28 juil. 2021,43
29 juil. 2021,37
30 juil. 2021,27
31 juil. 2021,42
1 août 2021,38
2 août 2021,41
3 août 2021,44
4 août 2021,40
5 août 2021,38
6 août 2021,43
7 août 2021,52
8 août 2021,45
9 août 2021,51
10 août 2021,64
11 août 2021,45
12 août 2021,58
13 août 2021,66
14 août 2021,53
15 août 2021,47
16 août 2021,49
17 août 2021,84
18 août 2021,66
19 août 2021,60
20 août 2021,49
21 août 2021,60
22 août 2021,47
23 août 2021,59
24 août 2021,74
25 août 2021,57
26 août 2021,57
27 août 2021,58
28 août 2021,69
29 août 2021,47
30 août 2021,58
31 août 2021,83
1 sept. 2021,66
2 sept. 2021,74
3 sept. 2021,66
4 sept. 2021,80
5 sept. 2021,56
6 sept. 2021,66
7 sept. 2021,82
8 sept. 2021,64
9 sept. 2021,64
10 sept. 2021,61
11 sept. 2021,47
12 sept. 2021,42
13 sept. 2021,58
14 sept. 2021,77
15 sept. 2021,62
16 sept. 2021,77
17 sept. 2021,56
18 sept. 2021,57
19 sept. 2021,43
20 sept. 2021,46
21 sept. 2021,60
22 sept. 2021,61
23 sept. 2021,65
24 sept. 2021,32
25 sept. 2021,52
26 sept. 2021,39
27 sept. 2021,55
28 sept. 2021,72
29 sept. 2021,66
30 sept. 2021,64
1 oct. 2021,62
2 oct. 2021,63
3 oct. 2021,44
4 oct. 2021,42
5 oct. 2021,75
6 oct. 2021,62
7 oct. 2021,54
8 oct. 2021,64
9 oct. 2021,53
10 oct. 2021,41
11 oct. 2021,50
12 oct. 2021,70
13 oct. 2021,70
14 oct. 2021,78
15 oct. 2021,61
16 oct. 2021,97
17 oct. 2021,59
18 oct. 2021,82
19 oct. 2021,107
20 oct. 2021,130
21 oct. 2021,121
22 oct. 2021,126
23 oct. 2021,114
24 oct. 2021,94
25 oct. 2021,122
26 oct. 2021,158
27 oct. 2021,158
28 oct. 2021,150
29 oct. 2021,185
30 oct. 2021,187
31 oct. 2021,112
1 nov. 2021,125
2 nov. 2021,168
3 nov. 2021,237
4 nov. 2021,201
5 nov. 2021,179
6 nov. 2021,178
7 nov. 2021,154
8 nov. 2021,175
9 nov. 2021,260
10 nov. 2021,291
11 nov. 2021,227
12 nov. 2021,177
13 nov. 2021,283
14 nov. 2021,209
15 nov. 2021,209
16 nov. 2021,288
17 nov. 2021,318
18 nov. 2021,295
19 nov. 2021,312
20 nov. 2021,293
21 nov. 2021,251
22 nov. 2021,243
23 nov. 2021,369
24 nov. 2021,344
25 nov. 2021,354
26 nov. 2021,323
27 nov. 2021,322
28 nov. 2021,245
29 nov. 2021,277
30 nov. 2021,386
1 déc. 2021,350
2 déc. 2021,325
3 déc. 2021,298
4 déc. 2021,312
5 déc. 2021,226
6 déc. 2021,208
7 déc. 2021,332
8 déc. 2021,298
9 déc. 2021,309
10 déc. 2021,292
11 déc. 2021,265
12 déc. 2021,207
13 déc. 2021,186
14 déc. 2021,288
15 déc. 2021,231
16 déc. 2021,186
17 déc. 2021,179
18 déc. 2021,175
19 déc. 2021,130
20 déc. 2021,141
21 déc. 2021,171
22 déc. 2021,170
23 déc. 2021,146
24 déc. 2021,125
25 déc. 2021,134
26 déc. 2021,109
27 déc. 2021,95
28 déc. 2021,169
29 déc. 2021,146
30 déc. 2021,164
31 déc. 2021,159
1 janv. 2022,154
2 janv. 2022,150
3 janv. 2022,151
4 janv. 2022,217
5 janv. 2022,191
6 janv. 2022,180
7 janv. 2022,189
8 janv. 2022,201
9 janv. 2022,156
10 janv. 2022,140
11 janv. 2022,199
12 janv. 2022,209
13 janv. 2022,189
14 janv. 2022,234
15 janv. 2022,266
16 janv. 2022,163
17 janv. 2022,176
18 janv. 2022,296
19 janv. 2022,310
20 janv. 2022,346
21 janv. 2022,344
22 janv. 2022,318
23 janv. 2022,278
24 janv. 2022,309
25 janv. 2022,415
26 janv. 2022,347
27 janv. 2022,412
28 janv. 2022,417
29 janv. 2022,360
30 janv. 2022,265
31 janv. 2022,335
1 févr. 2022,424
2 févr. 2022,363
3 févr. 2022,391
4 févr. 2022,338
5 févr. 2022,306
6 févr. 2022,286
7 févr. 2022,294
8 févr. 2022,301
9 févr. 2022,295
10 févr. 2022,263
11 févr. 2022,321
12 févr. 2022,282
13 févr. 2022,202
14 févr. 2022,160
15 févr. 2022,303
16 févr. 2022,242
17 févr. 2022,213
18 févr. 2022,200
19 févr. 2022,202
20 févr. 2022,148
21 févr. 2022,160
22 févr. 2022,194
23 févr. 2022,186
24 févr. 2022,166
25 févr. 2022,148
26 févr. 2022,114
27 févr. 2022,83
28 févr. 2022,112
1 mars 2022,160
2 mars 2022,168
3 mars 2022,144
4 mars 2022,151
5 mars 2022,129
6 mars 2022,121
7 mars 2022,116
8 mars 2022,174
9 mars 2022,162
10 mars 2022,150
11 mars 2022,160
12 mars 2022,160
13 mars 2022,102
14 mars 2022,162
15 mars 2022,200
16 mars 2022,190
17 mars 2022,169
18 mars 2022,204
19 mars 2022,158
20 mars 2022,143
21 mars 2022,145
22 mars 2022,231
23 mars 2022,234
24 mars 2022,209
25 mars 2022,224
26 mars 2022,202
27 mars 2022,173
28 mars 2022,180
29 mars 2022,261
30 mars 2022,236
31 mars 2022,268
1 avr. 2022,232
2 avr. 2022,199
3 avr. 2022,159
4 avr. 2022,157
5 avr. 2022,304
6 avr. 2022,217
7 avr. 2022,244
8 avr. 2022,232
9 avr. 2022,208
10 avr. 2022,150
11 avr. 2022,200
12 avr. 2022,274
13 avr. 2022,260
14 avr. 2022,242
15 avr. 2022,203
16 avr. 2022,202
17 avr. 2022,147
18 avr. 2022,145
19 avr. 2022,197
20 avr. 2022,222
21 avr. 2022,200
22 avr. 2022,197
23 avr. 2022,179
24 avr. 2022,113
25 avr. 2022,125
26 avr. 2022,194
27 avr. 2022,166
28 avr. 2022,151
29 avr. 2022,137
30 avr. 2022,138
1 mai 2022,77
2 mai 2022,110
3 mai 2022,186
4 mai 2022,125
5 mai 2022,172
6 mai 2022,120
7 mai 2022,106
8 mai 2022,80
9 mai 2022,89
10 mai 2022,172
11 mai 2022,118
12 mai 2022,101
13 mai 2022,86
14 mai 2022,86
15 mai 2022,83
16 mai 2022,74
17 mai 2022,119
18 mai 2022,92
19 mai 2022,81
20 mai 2022,92
21 mai 2022,60
22 mai 2022,52
23 mai 2022,64
24 mai 2022,93
25 mai 2022,78
26 mai 2022,69
27 mai 2022,52
28 mai 2022,58
29 mai 2022,34
30 mai 2022,38
31 mai 2022,66
